date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:54	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20May%202024%2010:54:54%20GMT	https://ueazure8.biz/robots.txt		(from )
18:54:54	12286/12286	---M-Z	200	added ('OK')	text/html	etag:%222ffe-66336a4f-866e498c47a15250;gz%22	https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/ueazure8.biz/index2b85.html	(from )
18:54:54	3083/3083	---M-Z	200	added ('OK')	text/css	etag:%22c0b-6627e7fa-3a42dd64f834304;gz%22	https://ueazure8.biz/scss/stretch_card.css	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/ueazure8.biz/scss/stretch_card.css	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
18:54:55	651/651	---M-Z	200	added ('OK')	text/css	etag:%2228b-6627e806-41333c2bd397e23c;gz%22	https://ueazure8.biz/css/style.css	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/ueazure8.biz/css/style.css	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
18:54:55	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20May%202024%2010:54:55%20GMT	https://ueazure8.biz/css/scratchImgup.css	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/ueazure8.biz/css/scratchImgup.css	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
18:54:56	155631/155631	---M-Z	200	added ('OK')	text/css	etag:%2260f76446-58e8%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.0.1/css/bootstrap.min.css	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.0.1/css/bootstrap.min.css	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
18:54:56	89664/89664	---M--	200	added ('OK')	text/javascript	date:Thu,%2008%20Sep%202022%2018:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.1/jquery.min.js	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/ajax.googleapis.com/ajax/libs/jquery/3.6.1/jquery.min.js	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
18:54:56	223733/223733	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2011%20May%202024%2010:54:57%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/connect.facebook.net/en_US/fbevents.js	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
18:54:57	94093/94093	---M--	200	added ('OK')	image/jpeg	etag:%2216f8d-6627e7fa-3a308155a19b6291;;;%22	https://ueazure8.biz/image/bg.jpg	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/ueazure8.biz/image/bg.jpg	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
18:54:57	52888/52888	---M--	200	added ('OK')	image/png	etag:%22ce98-6627e7fa-6a967a56c775c7d1;;;%22	https://ueazure8.biz/image/Pop%20Up.png	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/ueazure8.biz/image/Pop%20Up.png	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
18:54:57	7351/7351	---M--	200	added ('OK')	image/png	etag:%221cb7-6627e7fa-f10a1202b3cfdabf;;;%22	https://ueazure8.biz/image/tombol/leadbtn.png	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/ueazure8.biz/image/tombol/leadbtn.png	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
18:54:57	5326/5326	---M-Z	200	added ('OK')	text/javascript	etag:%2214ce-6627e7fa-7cc5f927b0613014;gz%22	https://ueazure8.biz/js/script.js	C:/Users/User/OneDrive/Pictures/JKC88/BONUS%20RUB/JKC88/ueazure8.biz/js/script.js	(from https://ueazure8.biz/?fbclid=IwZXh0bgNhZW0CMTAAAR3MbXzjsJqfrnHDUq4bde7pSe3W68Qnp6EI88K9IjkA7NeLc9ezaSexN3U_aem_AQbgemAAmNk62zxVjv959AamfhoT_cXCbKtMqytgU48cIasCMDB8iaoIAHPWqPHwTxd-vdNf30032Lh5Iiw3fij8)
